Город,Средний размер ЗП (руб)
Новый Уренгой,142.6
Салехард,127.2
Москва,137.7
Южно-Сахалинск,117.5
Сургут,103.8
Ханты-Мансийск,99.0
Анадырь,147.3
Красногорск,95.7
Санкт-Петербург,93.7
Магадан,114.8
Химки,92.4
Тюмень,74.9
Мурманск,90.8
Нижневартовск,85.7
Иркутск,71.4
Одинцово,83.2
Петропавловск-Камчатский,112.4
Кемерово,65.3
Екатеринбург,69.6
Нарьян-Мар,88.9
Домодедово,81.1
Казань,63.2
Якутск,88.5
Владивосток,78.9
Мытищи,77.2
Красноярск,69.4
Новокузнецк,60.3
Томск,64.8
Уфа,60.6
Череповец,68.4
Кызыл,58.2
Новосибирск,63.9
Нижний Новгород,62.0
Набережные Челны,56.1
Оренбург,55.8
Хабаровск,74.1
Челябинск,56.4
Магнитогорск,56.3
Пермь,60.3
Краснодар,63.2
Самара,56.4
Омск,54.3
Архангельск,67.0
Чита,60.9
Липецк,53.3
Белгород,51.9
Новороссийск,61.3
Тула,57.4
Ростов-на-Дону,58.5
Благовещенск,61.9
Абакан,58.1
Комсомольск-на-Амуре,67.8
Великий Новгород,51.8
Тверь,53.7
Старый Оскол,50.0
Воронеж,54.5
Петрозаводск,60.1
Саратов,49.5
Ижевск,51.1
Улан-Удэ,54.4
Сыктывкар,60.1
Чебоксары,48.9
Ярославль,53.1
Нижний Тагил,52.2
Рязань,51.7
Калуга,54.4
Киров,49.5
Курган,48.9
Сочи,55.3
Волгоград,47.8
Тольятти,48.9
Астрахань,47.4
Калининград,55.1
Магас,46.1
Вологда,54.1
Пенза,45.4
Йошкар-Ола,45.9
Ульяновск,46.9
Симферополь,49.1
Орёл,43.8
Владимир,50.1
Курск,45.0
Барнаул,48.6
Ставрополь,48.4
Саранск,42.1
Смоленск,46.4
Кострома,45.1
Горно-Алтайск,50.1
Брянск,45.9
Севастополь,47.3
Псков,44.4
Биробиджан,53.8
Тамбов,41.2
Майкоп,39.6
Иваново,42.1
Черкесск,40.3
Владикавказ,38.0
Грозный,40.0
Элиста,37.9
Нальчик,38.1
